type,crashes,avg_damage_severity,total_loss_rate,purchase_risk_score
british aerospace bae-125,8,3.0,1.0,100.0
let l-410uvp-e3,6,3.0,1.0,100.0
antonov an-26b,8,3.0,1.0,100.0
beechcraft b300 king air 350i,12,3.0,1.0,100.0
ilyushin il-76td,8,3.0,1.0,100.0
gulfstream american g-1159a gulfstream iii,6,3.0,1.0,100.0
let l-410uvp-e20,6,3.0,1.0,100.0
gulfstream aerospace g-1159a gulfstream iii,8,3.0,1.0,100.0
lockheed c-130h hercules,6,3.0,1.0,100.0
rockwell sabreliner 65,12,3.0,0.8333333333333334,95.0
boeing 737 max 8,6,3.0,0.6666666666666666,89.99999999999999
cessna 560 citation v,6,3.0,0.6666666666666666,89.99999999999999
british aerospace bae-125-800a,12,2.8333333333333335,0.8333333333333334,83.33333333333334
airbus a320-271n,8,3.0,0.25,77.49999999999999
british aerospace bae-125-700a,24,2.8,0.6666666666666666,75.99999999999997
antonov an-26,20,2.7777777777777777,0.7,75.44444444444443
let l-410uvp-e,8,2.75,0.75,74.99999999999999
let l-410uvp,8,2.75,0.75,74.99999999999999
beechcraft b200 king air,14,2.7142857142857144,0.7142857142857143,71.42857142857144
cessna 560xls+ citation xls+,6,2.6666666666666665,0.6666666666666666,66.66666666666666
cessna s550 citation s/ii,6,2.6666666666666665,0.6666666666666666,66.66666666666666
cessna 208 supervan 900,6,2.6666666666666665,0.6666666666666666,66.66666666666666
harbin y-12-ii,6,2.6666666666666665,0.6666666666666666,66.66666666666666
iai 1124a westwind ii,6,2.6666666666666665,0.6666666666666666,66.66666666666666
lockheed l-100-30 hercules,6,2.6666666666666665,0.6666666666666666,66.66666666666666
fokker 50,10,2.6,0.6,60.00000000000001
cessna 501 citation i/sp,10,2.6,0.6,60.00000000000001
antonov an-2,26,2.5384615384615383,0.5384615384615384,53.84615384615383
beechcraft 200 super king air,58,2.5185185185185186,0.4827586206896552,50.779054916985956
cessna 560xl citation excel,12,2.5,0.5,50.0
cessna 525 citationjet,12,2.5,0.5,50.0
cessna 525a citationjet cj2+,8,2.5,0.5,50.0
learjet 35a,26,2.4615384615384617,0.46153846153846156,46.15384615384616
beechcraft b200 super king air,22,2.4545454545454546,0.45454545454545453,45.45454545454545
antonov an-2r,58,2.4482758620689653,0.4482758620689655,44.827586206896534
beechcraft b300 king air 350,14,2.4285714285714284,0.42857142857142855,42.85714285714284
cessna 208b grand caravan,114,2.423076923076923,0.38596491228070173,41.19433198380565
boeing 737-8as (wl),24,2.5,0.08333333333333333,37.5
cessna 208b grand caravan ex,22,2.3636363636363638,0.36363636363636365,36.36363636363637
cessna 208b super cargomaster,20,2.375,0.3,35.24999999999999
cessna 550 citation ii,12,2.3333333333333335,0.3333333333333333,33.33333333333334
cessna 551 citation ii/sp,6,2.3333333333333335,0.3333333333333333,33.33333333333334
bombardier cl-600-2b16 challenger 605,6,2.3333333333333335,0.3333333333333333,33.33333333333334
hawker 800xp,6,2.3333333333333335,0.3333333333333333,33.33333333333334
canadair cl-215-6b11 (cl-415),6,2.3333333333333335,0.3333333333333333,33.33333333333334
learjet 60,6,2.3333333333333335,0.3333333333333333,33.33333333333334
